well,smart_key_findings,smart_pattern_context,smart_local_evidence,smart_recommended_action,smart_pattern_type,smart_wct_bias,smart_confidence,smart_similar_wells
HW-10,"Water match is the main concern (13.1/100). Pressure/BHP is moderate (66.8/100), so it should be checked but is not the only driver. The model appears to bring too little water or delays water breakthrough.",This looks more isolated. Nearby wells do not show a strong matching water-mismatch signature.,Local evidence: high ΔSWAT percentile (80); high pressure-depletion percentile (80).,"Water is present near the well, but the model does not produce enough water. TRAN/PERM are not clearly low, so a simple local TRAN increase is not strongly supported. First inspect whether the connected cells actually communicate with the completion through streamlines. If the corridor is weak, increase local/fault TRAN; if the corridor is already connected, the better hypothesis is water relative permeability/SATNUM.",isolated,underestimated_wct,Medium,
HW-24,"Water match is the main concern (59.8/100). Pressure/BHP is acceptable (75.6/100), so pressure alone is unlikely to explain the issue. The model appears to bring water too early or too strongly.",This looks more isolated. Nearby wells do not show a strong matching water-mismatch signature.,Local evidence: high ΔSWAT percentile (73); low pressure-depletion percentile (13).,"This overestimated-WCT issue looks isolated. Do not change regional relperm or field-wide water mobility from this well alone. Start with a strictly local test: reduce TRAN around the completed cells or along the nearest preferential streamline corridor only if the map shows a clear water path into the well. If no clear path exists, the tool has weak local evidence and the safer next hypothesis is relperm/SATNUM rather than transmissibility.",isolated,overestimated_wct_early,Medium,
HW-25,"Water match is the main concern (0.0/100). Pressure/BHP is moderate (65.5/100), so it should be checked but is not the only driver. The model appears to bring too little water or delays water breakthrough.",This looks more isolated. Nearby wells do not show a strong matching water-mismatch signature.,Local evidence: low TRAN percentile (20); low PERM percentile (27); low pressure-depletion percentile (20).,"Water is present near the well in the model, but the simulated WCT is too low. This points to insufficient effective communication between water-bearing cells and the well. The first tuning candidate is to increase local TRAN around the completed cells, or open the preferential corridor indicated by streamlines. If a nearby fault cuts the connection, test higher fault transmissibility. Do not use PI multiplier as a first-line correction because the issue is phase communication/mobility, not generic deliverability.",isolated,underestimated_wct_late,Medium,
HW-26,"Water match is the main concern (66.5/100). Pressure/BHP is acceptable (78.2/100), so pressure alone is unlikely to explain the issue. The model appears to bring too little water or delays water breakthrough.",This looks more isolated. Nearby wells do not show a strong matching water-mismatch signature.,Local evidence: low ΔSWAT percentile (7); low TRAN percentile (13); low PERM percentile (13).,"The model underestimates WCT and ΔSWAT is not high around the well. This suggests the problem is not just well-to-cell communication: the model may not be bringing enough water into the area. Check regional water support first: streamline support, fault connectivity between water source and producer, and aquifer/contact representation if available. If those do not explain the issue, then relperm/SATNUM becomes a more defensible tuning lever than local TRAN.",isolated,underestimated_wct,Medium,
HW-28,"Water match is the main concern (20.2/100). Pressure/BHP is moderate (70.7/100), so it should be checked but is not the only driver. The model appears to bring too little water or delays water breakthrough.",This looks more isolated. Nearby wells do not show a strong matching water-mismatch signature.,Local evidence: high ΔSWAT percentile (100).,"Water is present near the well, but the model does not produce enough water. TRAN/PERM are not clearly low, so a simple local TRAN increase is not strongly supported. First inspect whether the connected cells actually communicate with the completion through streamlines. If the corridor is weak, increase local/fault TRAN; if the corridor is already connected, the better hypothesis is water relative permeability/SATNUM.",isolated,underestimated_wct,Medium,
HW-29,"Pressure/BHP is also weak (58.8/100), so pressure support may be part of the issue. Water is negligible in both observed and simulated profiles; water tuning is not material for this well.",There is partial local support: HW-30 show a related water-mismatch signature.,Local evidence: high TRAN percentile (93); high PERM percentile (93); low pressure-depletion percentile (7).,"No water-specific tuning is needed for this well. Do not spend HM effort on water here. Focus on the weakest non-water variable, and only revisit water if WCT becomes material in the history.",weak_local_pattern,negligible,Medium,HW-30
HW-3,"Pressure/BHP is also weak (44.3/100), so pressure support may be part of the issue. Water is negligible in both observed and simulated profiles; water tuning is not material for this well.",This looks more isolated. Nearby wells do not show a strong matching water-mismatch signature.,Local evidence: high TRAN percentile (73); high PERM percentile (80).,"No water-specific tuning is needed for this well. Do not spend HM effort on water here. Focus on the weakest non-water variable, and only revisit water if WCT becomes material in the history.",isolated,negligible,Medium,
HW-30,"Pressure/BHP is also weak (52.8/100), so pressure support may be part of the issue. Water is negligible in both observed and simulated profiles; water tuning is not material for this well.",There is partial local support: HW-29 show a related water-mismatch signature.,Local evidence: high PERM percentile (87).,"No water-specific tuning is needed for this well. Do not spend HM effort on water here. Focus on the weakest non-water variable, and only revisit water if WCT becomes material in the history.",weak_local_pattern,negligible,Medium,HW-29
HW-31,"Pressure/BHP is also weak (0.0/100), so pressure support may be part of the issue. Water is negligible in both observed and simulated profiles; water tuning is not material for this well.",There is partial local support: HW-32 show a related water-mismatch signature.,Local evidence: low ΔSWAT percentile (20); high TRAN percentile (87).,"No water-specific tuning is needed for this well. Do not spend HM effort on water here. Focus on the weakest non-water variable, and only revisit water if WCT becomes material in the history.",weak_local_pattern,negligible,Medium,HW-32
HW-32,"Water match is the main concern (49.2/100). Pressure/BHP is also weak (57.8/100), so pressure support may be part of the issue. The model appears to bring too little water or delays water breakthrough.",This looks more isolated. Nearby wells do not show a strong matching water-mismatch signature.,Local evidence: high ΔSWAT percentile (87); high TRAN percentile (100); high PERM percentile (100).,"Water is present near the well, but the model does not produce enough water. TRAN/PERM are not clearly low, so a simple local TRAN increase is not strongly supported. First inspect whether the connected cells actually communicate with the completion through streamlines. If the corridor is weak, increase local/fault TRAN; if the corridor is already connected, the better hypothesis is water relative permeability/SATNUM.",isolated,underestimated_wct_late,Medium,
